HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue,p_adj_bh,p_adj_bonferroni
N5.HOG0059939,,0.198940724341549,0.153507461384343,1.29596778259171,0.19498658470584,0.375695391886186,0.0681873310003043,5.50975359168273,3.5933636334594e-08,2.58938383608383e-06,3.6430007751758305e-06,0.00042987409147074803
N5.HOG0029521,,0.0894895513074466,0.209004778473467,0.428169881861371,0.668527442124414,0.521740790250098,0.0947300610474413,5.50765812331533,3.63638735988694e-08,2.59836674802125e-06,3.65563882238046e-06,0.00043502101986327466
N5.HOG0055199,,-0.137944665948538,0.199424311191352,-0.69171439091083,0.489116707743788,0.493849493823994,0.0899336542763438,5.49126461943287,3.99065911854001e-08,2.79272457424553e-06,3.929080597110697e-06,0.0004774025503509414
N5.HOG0060153,,-0.461694690600833,0.310026243705816,-1.48921163925379,0.136431646805446,0.833700645964314,0.152269587633207,5.47516190805328,4.37111765977431e-08,2.99742333069158e-06,4.2170710132161345e-06,0.0005229168056388007
N5.HOG0068268,,-0.108813491344468,0.179997590878357,-0.604527487359563,0.545493000015094,0.440532093692974,0.0805133060841638,5.47154396109964,4.46131642489351e-08,3.0348014715206e-06,4.269658271280085e-06,0.0005337072839100105
N5.HOG0053081,,0.185448698256944,0.180567473126863,1.02703269335032,0.30440506975518,0.440831622189728,0.0807714495297454,5.45776539552363,4.82164145310802e-08,3.22825968791674e-06,4.541834386104822e-06,0.0005768129670353124
N5.HOG0028455,,-0.380103649941843,0.305083329811755,-1.24590107947353,0.212800713748148,0.808855671175745,0.148730589319116,5.43839485124519,5.37627233418884e-08,3.54379687752177e-06,4.9857632506900075e-06,0.0006431634593390109
N5.HOG0066153,,0.0465782073673027,0.123664337612753,0.376650279833781,0.706433516977643,0.297348467105966,0.0547434538004224,5.43167166963937,5.5828572135951e-08,3.62378561434976e-06,5.098299301239556e-06,0.0006678772084623818
N5.HOG0065489,,-0.0073739160650654,0.13066326123508,-0.0564345019048531,0.95499567219527,0.312466723461667,0.0578532119176201,5.40102637527892,6.62606816125948e-08,4.17349024099492e-06,5.871678030603493e-06,0.0007926765341314717
N5.HOG0064339,,0.0271072984477347,0.125096073177575,0.21669184139182,0.82844850657506,0.296635200544338,0.0553770481069763,5.35664522910835,8.47813580234623e-08,4.98609947922501e-06,7.014936918503431e-06,0.0010142393860346794
N5.HOG0067410,,-0.0230658382909776,0.112493858233086,-0.205040867592838,0.837540195556758,0.266688218809201,0.0498143039850015,5.35364739592664,8.61987567516513e-08,4.98609947922501e-06,7.014936918503431e-06,0.0010311957270200045
N5.HOG0067970,,-0.028917952281799,0.124989573567987,-0.231362916572152,0.817032871923921,0.295902292355963,0.0553297245112734,5.34798058312531,8.89410042655042e-08,5.10996099650652e-06,7.189197527217749e-06,0.0010640012340282267
N5.HOG0064358,,0.0449588321091599,0.170291972526204,0.264010284467412,0.791771993975379,0.405182813981901,0.0758504143829576,5.34186684776951,9.19942198198979e-08,5.24990619983131e-06,7.386086253056635e-06,0.0011005268517054385
