HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue
N5.HOG0068230,,0.118417586446776,0.0620176442706744,1.90941768007095,0.0562082318203767,-0.274227878743138,0.0329367523930254,-8.32589307746102,8.3695324032986e-17,1.7791742135615999e-13
N5.HOG0030400,,1.1466277358135,0.302900671311682,3.78549090316683,0.0001534054461762,-1.14460544061033,0.137932302610196,-8.29831315036509,1.0560002429347e-16,1.79585507166802e-13
N5.HOG0067198,,0.252124053550423,0.106170126800659,2.37471745723543,0.017562387856552,-0.505628005930304,0.0662205273643975,-7.63551765675227,2.24914879214552e-14,2.12497071553983e-11
N5.HOG0066647,,0.25694066321963,0.128940032264559,1.99271443249245,0.0462927260897092,-0.650025391978578,0.0899758093874646,-7.22444617507536,5.03148094344951e-13,3.56526534548248e-10
N5.HOG0068853,,0.129263983639843,0.0990568634686191,1.30494727082484,0.191910803341644,-0.378946010053477,0.0563569668822635,-6.72403131355776,1.7676441886505597e-11,7.515227393013271e-09
N5.HOG0063878,,0.38456274575333,0.118460828875981,3.24632833825547,0.0011690392617796,-0.491653911518646,0.0731143383917815,-6.72445271793517,1.7625363964080002e-11,7.515227393013271e-09
N5.HOG0068321,,0.131955468515897,0.0938630769621173,1.4058293504394,0.159774804333523,-0.346863819077653,0.0522456919807157,-6.6390893856987,3.1562695939310196e-11,1.16687282893458e-08
N5.HOG0067173,,0.204080428660934,0.135903972283199,1.50165168267244,0.1331870883542,-0.606754850124629,0.0916444898972135,-6.62074556588347,3.57391664947374e-11,1.21557478487684e-08
N5.HOG0067189,,0.241295684673064,0.138357159168741,1.74400577550728,0.0811580827510751,-0.6240464896849,0.0945789246534774,-6.59815589965006,4.1630338329501895e-11,1.36148814512584e-08
N5.HOG0067655,,0.290839152706808,0.157397448945932,1.84780093104759,0.064631146188448,-0.820630809294841,0.126041790993759,-6.51078346971024,7.475984412058909e-11,2.01849358418735e-08
N5.HOG0063015,,0.259351828155524,0.123261410948624,2.10407966418317,0.0353714984324612,-0.497207016625863,0.0763948289303732,-6.50838575840023,7.596264527637369e-11,2.01849358418735e-08
N5.HOG0067767,,0.125427253578929,0.132226432300408,0.948579277205092,0.342834634744685,-0.56182738332569,0.086093365905492,-6.52579182398827,6.764321690148249e-11,2.01849358418735e-08
N5.HOG0068054,,0.22958317803681,0.133739617545134,1.71664299817017,0.0860444210422453,-0.571043921651182,0.0877029989772632,-6.51111054707745,7.459721765715159e-11,2.01849358418735e-08
N5.HOG0059402,,0.523709944998625,0.130310147298882,4.01894983509943,5.8458114427996e-05,-0.542693994051187,0.0836034432744098,-6.49128759290349,8.510583805847069e-11,2.19291947522484e-08
N5.HOG0058053,,0.530713383915659,0.124096986792054,4.2766016938426,1.8976789000957e-05,-0.49809440740719,0.0769640031847397,-6.47178403924229,9.68524846299952e-11,2.42219509961048e-08
N5.HOG0029661,,0.386036872621828,0.138941473679533,2.77841354635562,0.0054625047291917,-0.593747804736592,0.09274163504694,-6.40217098217078,1.53182978139958e-10,3.52035172118015e-08
