HOG,error,coef_(Intercept)_Estimate,coef_(Intercept)_StdErr,coef_(Intercept)_z.value,coef_(Intercept)_p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,p_adj_bonferroni
N5.HOG0063015,,0.259351828155524,0.123261410948624,2.10407966418317,0.0353714984324612,-0.497207016625863,0.0763948289303732,-6.50838575840023,7.596264527637369e-11,9.087411254412585e-07
N5.HOG0059402,,0.523709944998625,0.130310147298882,4.01894983509943,5.8458114427996e-05,-0.542693994051187,0.0836034432744098,-6.49128759290349,8.510583805847069e-11,1.0181211406934848e-06
N5.HOG0058053,,0.530713383915659,0.124096986792054,4.2766016938426,1.8976789000957e-05,-0.49809440740719,0.0769640031847397,-6.47178403924229,9.68524846299952e-11,1.1586462736286325e-06
N5.HOG0056774,,0.0424378261779394,0.213879714989743,0.198419126283082,0.842717154317271,0.639882363837298,0.099507375160023,6.43050188800851,1.27183300725055e-10,1.5214938265738329e-06
N5.HOG0068297,,-0.151866465155199,0.152546531382832,-0.995541909596581,0.319472771640858,0.437112097301903,0.0682035340334703,6.40893618631835,1.46538508336714e-10,1.7530401752321096e-06
N5.HOG0029661,,0.386036872621828,0.138941473679533,2.77841354635562,0.0054625047291917,-0.593747804736592,0.09274163504694,-6.40217098217078,1.53182978139958e-10,1.8325279674883176e-06
N5.HOG0063840,,0.293540519693081,0.130876458630448,2.24288250740297,0.0249043920642308,-0.532682253866864,0.0833252008534778,-6.39281091927462,1.62863608432065e-10,1.9483373476727937e-06
N5.HOG0014288,,-1.94999513149513,0.687324645497651,-2.83708018367834,0.0045528176582668,2.0276758021462,0.320392789560035,6.32871858611617,2.47205481187868e-10,2.957319171450465e-06
N5.HOG0069576,,0.224530151135082,0.157479741765873,1.42577164921246,0.153934266971791,-0.757924079857374,0.119846152057132,-6.32414196741223,2.54643533056262e-10,3.046300585952062e-06
N5.HOG0041015,,-0.0278269612767483,0.160689853826706,-0.173171862529404,0.862516339924095,0.455469072232907,0.0720265065822182,6.32363131082846,2.55486899128061e-10,3.056389774268994e-06
N5.HOG0066999,,-0.116493723668152,0.18308589750891,-0.636279064926246,0.524594547626735,0.524275751649823,0.0830224998732044,6.3148634701499,2.70400087630059e-10,3.2347962483183957e-06
N5.HOG0068259,,-0.029557450115972,0.0528834994434062,-0.558916305219234,0.576218840973432,0.149312229392993,0.0236710293087315,6.30780467742129,2.8302106428933e-10,3.385780992093255e-06
N5.HOG0003965,,-1.75143393835596,0.698726820088031,-2.50660757252068,0.0121895960062534,1.95376527195498,0.310183305917312,6.29874411254038,3.00066873531901e-10,3.5897000080621317e-06
N5.HOG0064145,,0.0518984606296496,0.18359555969405,0.282678190671577,0.777423535982981,0.524201995354913,0.0832524402755769,6.29653609695684,3.04370427043093e-10,3.6411834187165214e-06
N5.HOG0065635,,0.238567304554919,0.116214644978465,2.05281618852018,0.0400904078827641,-0.429681934109595,0.0685327932345268,-6.2697274374791,3.61680647764923e-10,4.326785589211774e-06
N5.HOG0057006,,0.363933610089343,0.109556108050614,3.32189246738492,0.0008940914388687,-0.394250019892285,0.0629986632852237,-6.25806960549837,3.89771862333164e-10,4.662840789091641e-06
