"HOG","error","coef_(Intercept)_Estimate","coef_(Intercept)_StdErr","coef_(Intercept)_z.value","coef_(Intercept)_p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value"
"N5.HOG0056002",NA,"-2.05836339821321","1.56581307677672","-1.31456521135359","0.188656068342233","0.98980909127593","0.998410625054182","0.991384773396432","0.321497732469124"
"N5.HOG0056005",NA,"-0.708661089338002","0.651701317675591","-1.08740165182659","0.276859341493576","0.102207693240924","0.436968103992033","0.233901953728842","0.815061096425014"
"N5.HOG0056011",NA,"-0.295220309366835","0.390017550811734","-0.756941088298205","0.449085157629346","-0.202315730465949","0.291644412517942","-0.69370686281707","0.48786606128225"
"N5.HOG0056013",NA,"0.14671733382003","0.247156932879438","0.593620142921898","0.55276620551008","-0.362990836337748","0.199375690822142","-1.82063738483326","0.0686619960407053"
"N5.HOG0056015",NA,"0.172377286735306","0.146757974047794","1.17456845431219","0.240167410109597","-0.00729134143099533","0.101752278247379","-0.071657770780018","0.942874263760264"
"N5.HOG0056016",NA,"0.102431833682204","0.230031579213036","0.445294659249114","0.656106826957187","0.364578918275656","0.146314394080193","2.49175018334721","0.0127115408775829"
"N5.HOG0056017",NA,"0.257777478433692","0.295928880971418","0.871079151137631","0.383710937002306","-0.110647841091243","0.21304444048901","-0.519365071612611","0.603506183704903"
"N5.HOG0056021",NA,"-0.390102064265675","0.321677120309093","-1.21271312019591","0.225239521839359","-0.132513910769672","0.233599080008878","-0.567270687729744","0.570530288763265"
"N5.HOG0056026",NA,"0.167298044456931","0.22046440964225","0.758843773144192","0.44794601707266","0.0279703239119135","0.15110562014079","0.185104457966903","0.853147105080119"
"N5.HOG0056027",NA,"-0.121065761868504","0.268711822830682","-0.450541254914521","0.652320214139019","0.14993701069748","0.177938208970885","0.842635269651465","0.399432459335238"
"N5.HOG0056030",NA,"-0.728422386980373","0.41673561167493","-1.74792450314654","0.0804771012629402","-0.0654907683327172","0.294917746503128","-0.222064521749703","0.824263655872998"
"N5.HOG0056033",NA,"0.368657043022442","0.143337048738484","2.57195921268792","0.0101124804687806","-0.071852538080995","0.101676170704086","-0.706680214089805","0.479765228018095"
"N5.HOG0056039","system is computationally singular: reciprocal condition number = 1.65075e-16",NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0056047",NA,"-1.17905333422201","1.47318747601524","-0.800341676411195","0.423512862683493","3.626171440444","1.35943746057268","2.66740585397465","0.00764393019399198"
"N5.HOG0056051",NA,"0.426337965193108","0.170851614109403","2.49536984134143","0.0125825907719012","-0.0190846075715568","0.118932398957407","-0.160466010429938","0.872513994386606"
"N5.HOG0056052",NA,"0.443214588428896","0.259032510443934","1.71103846258259","0.0870740127820285","-0.0361992213011452","0.181391546899841","-0.19956399247829","0.841821591090831"
"N5.HOG0056066",NA,"0.13860694927705","0.236650114589379","0.585704129142523","0.558074358801267","0.576144039603727","0.148121111266399","3.88968213023679","0.000100375612515239"
"N5.HOG0056073",NA,"-1.51081785617652","0.890804078320569","-1.6960158725641","0.0898828741559038","0.542461884860649","0.558205018631665","0.971796860928252","0.331151617836243"
"N5.HOG0056074",NA,"-1.11175639389517","1.49907256165339","-0.74162947300494","0.458311861341312","-0.989702870152186","1.22280350304511","-0.809371961797264","0.418301224837679"
"N5.HOG0056077",NA,"0.291356325650036","0.288795213621758","1.00886826341808","0.313037817417763","0.0487566914933513","0.196664072416863","0.247918650794556","0.804197349062549"
"N5.HOG0056082",NA,"0.261756484121818","0.207634713376662","1.26065858576825","0.207431881044287","-0.341084631403923","0.165666533463062","-2.05886260956847","0.0395074018357016"
"N5.HOG0056084",NA,"0.136695126440543","0.148885776660724","0.918120786997938","0.358555633268469","-0.00395589091118088","0.103112164961067","-0.0383649292270658","0.969396722807207"
"N5.HOG0056086",NA,"0.413685620254251","0.181355250907318","2.28107881180493","0.0225437836823425","-0.431443439043251","0.151571734450336","-2.84646369329909","0.00442077700389251"
"N5.HOG0056087",NA,"-0.0601228554582635","0.366621345380679","-0.16399169392561","0.869737682576779","-1.30870294232555","0.525384754476259","-2.49094198332831","0.0127404921950576"
"N5.HOG0056091",NA,"-1.79573433342805","1.18484835906296","-1.51558156762626","0.129625190773392","0.893164609205266","0.748935314873869","1.19257910725666","0.233034252272405"
"N5.HOG0056120",NA,"0.110937480141167","0.137821357816724","0.804936781196803","0.420856161946917","0.0162070289660496","0.0948186031827098","0.170926679175179","0.864281418410927"
"N5.HOG0056121",NA,"0.169501912422025","0.192958973273624","0.878434983076239","0.379707706685505","0.233520116103134","0.125404282662947","1.86213828702145","0.0625836004704902"
"N5.HOG0056124",NA,"0.168726970223395","0.227431077985882","0.741881767951999","0.458158973166002","0.120390162625319","0.151747090161183","0.793360600835523","0.427567758669298"
"N5.HOG0056125",NA,"0.383957039067795","0.215394345021821","1.78257715646572","0.0746551611124262","0.0286890884253625","0.147597027637713","0.194374432090746","0.845882708352224"
"N5.HOG0056126",NA,"0.208008294499294","0.266971266462331","0.779141131012477","0.435896583407782","-0.265481012510165","0.205401434142054","-1.2924983392597","0.196184620689823"
"N5.HOG0056129",NA,"-1.17710646158241","0.658114859640577","-1.788603378786","0.0736787133353438","0.150060614187492","0.435783552235911","0.344346668013429","0.730585591757106"
"N5.HOG0056136",NA,"0.242880729558665","0.174171086394587","1.39449511733776","0.163168142924439","-0.172781646049572","0.128599245817555","-1.34356655788402","0.17908858973339"
"N5.HOG0056137",NA,"-0.312515285850198","0.680738499448159","-0.45908272575084","0.646174760977374","0.603694811298343","0.425831117336551","1.41768599503549","0.156282460708241"
"N5.HOG0056138",NA,"0.260488881741276","0.24447657262231","1.06549629253721","0.286651402434539","-0.141923045501948","0.17821405622001","-0.796362803878612","0.425821191379302"
"N5.HOG0056143","system is computationally singular: reciprocal condition number = 1.23412e-16",NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0056151",NA,"0.15744023529442","0.210463523236028","0.748064238751034","0.454421411088327","0.112901175407817","0.140706792145654","0.802386108631813","0.422329646098791"
"N5.HOG0056154",NA,"-0.123523644604342","0.206305040422315","-0.59874273721807","0.549344453180056","0.114194272743756","0.13787872521373","0.828222574343796","0.407544461614837"
"N5.HOG0056157",NA,"0.0748392983733853","0.24990631387048","0.299469418016276","0.764581902822377","-0.170133376692638","0.18431245131975","-0.92307044626891","0.355970494762783"
"N5.HOG0056159",NA,"-0.420606508900684","0.380532980961396","-1.10530894809182","0.269025741946619","0.10356173799955","0.255053899886175","0.406038637502769","0.684714211287478"
"N5.HOG0056160",NA,"-0.073070270408963","0.28403238335583","-0.257260350195428","0.796977798516532","-0.468092807591544","0.242094917229553","-1.93350943897637","0.0531734714367207"
"N5.HOG0056164",NA,"-0.137299120829294","0.291134039269347","-0.471601057622363","0.637211571667819","-0.10486905762411","0.209121036893277","-0.501475409562113","0.616036579829051"
"N5.HOG0056165",NA,"-0.867617870458919","0.516880031796643","-1.67856720532061","0.093236422451239","0.076708026653893","0.349072820976524","0.219747920904595","0.826067481239869"
"N5.HOG0056172",NA,"0.0260002688031134","0.255859634623532","0.101619268085682","0.91905888490084","-1.12510996954705","0.325498451873696","-3.45657548621345","0.000547085955180646"
"N5.HOG0056179",NA,"0.0935349228001565","0.27071078124813","0.3455160609744","0.729706437977779","-0.0936355172960628","0.193611131374084","-0.483626724514851","0.628650804958076"
"N5.HOG0056181","NA/NaN/Inf in foreign function call (arg 11)",NA,NA,NA,NA,NA,NA,NA,NA
